signal_date,ticker,target_weight,current_weight,order_weight_delta,alpha_score,trading_cost_bps,net_alpha_after_cost_bps,min_net_alpha_after_cost_bps,passes_cost_threshold,alpha_rank,quantile_bucket,price_flag,reason_text
2026-05-14,ADUR,-0.00078125,0.0,-0.00078125,-0.005094548682423915,3.0,47.945486824239154,5.0,True,7334.0,1.0,True,"SHORT because predicted alpha is in the bottom decile. Net alpha after estimated 3.0 bps trading cost is 47.95 bps versus threshold 5.00 bps. Main contributors were intraday_return, volume_z_60, close_to_high_20. Price filter passed; liquidity filter passed."
2026-05-14,ADUS,0.0,0.0,0.0,0.0006677697214689306,3.0,3.6776972146893065,5.0,False,1595.0,3.0,True,
2026-05-14,ADV,0.0,0.0,0.0,0.002036222310567752,3.0,17.36222310567752,5.0,True,814.0,4.0,True,
2026-05-14,ADVB,0.0,0.0,0.0,-0.004888245932239561,3.0,-51.88245932239561,5.0,False,7323.0,1.0,False,
2026-05-14,ADVM,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2071.0,2.0,False,
2026-05-14,ADVS,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2072.0,2.0,False,
2026-05-14,ADXS,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2073.0,2.0,False,
2026-05-14,ADXS.W,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2074.0,2.0,False,
2026-05-14,ADYX,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2075.0,2.0,False,
2026-05-14,AEAC,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2076.0,2.0,False,
2026-05-14,AEAE,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2077.0,2.0,False,
2026-05-14,AEAQ,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2078.0,2.0,False,
2026-05-14,AEBI,0.0,0.0,0.0,-0.002062961746876147,3.0,-23.62961746876147,5.0,False,7034.0,1.0,True,
2026-05-14,AEBIV,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2079.0,2.0,False,
2026-05-14,AEC,0.0,0.0,0.0,0.002200492241708148,3.0,19.00492241708148,5.0,True,775.0,4.0,False,
2026-05-14,AEGN,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2080.0,2.0,False,
2026-05-14,AEGR,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2081.0,2.0,False,
2026-05-14,AEHA,0.0,0.0,0.0,0.0,3.0,-3.0,5.0,False,2082.0,2.0,False,
