date,ticker,side,planned_quantity,filled_quantity,fill_ratio,planned_price,average_fill_price,arrival_price,close_price,slippage_bps,transaction_cost,order_status,rejected_reason
,LQDA,SELL,0,0,0.0,59.3,,59.3,59.3,2.0,6.975446428571404e-05,planned,
,LSAK,SHORT,0,0,0.0,5.29,,5.29,5.29,2.0,0.0078125,planned,
,LUNR,SELL,0,0,0.0,36.52,,36.52,36.52,2.0,0.007882254464285712,planned,
,LWAY,SHORT,0,0,0.0,26.0,,26.0,26.0,2.0,0.0078125,planned,
,LWLG,BUY,0,0,0.0,14.93,,14.93,14.93,2.0,0.0078125,planned,
,LXEO,COVER,0,0,0.0,5.5,,5.5,5.5,2.0,0.007882254464285712,planned,
,MBLY,COVER,0,0,0.0,10.38,,10.38,10.38,2.0,0.007882254464285712,planned,
,MCW,COVER,0,0,0.0,7.1,,7.1,7.1,2.0,6.975446428571404e-05,planned,
,MELI,COVER,0,0,0.0,1607.37,,1607.37,1607.37,2.0,6.975446428571404e-05,planned,
,MGRT,COVER,0,0,0.0,136.9775,,136.9775,136.9775,2.0,0.007882254464285712,planned,
,MIRM,COVER,0,0,0.0,111.39,,111.39,111.39,2.0,0.007882254464285712,planned,
,MNPR,SHORT,0,0,0.0,60.99,,60.99,60.99,2.0,0.0078125,planned,
,MNTS,COVER,0,0,0.0,5.56,,5.56,5.56,2.0,0.007882254464285712,planned,
,MOVE,COVER,0,0,0.0,20.92,,20.92,20.92,2.0,0.007882254464285712,planned,
,MRAM,SELL,0,0,0.0,40.63,,40.63,40.63,2.0,6.975446428571404e-05,planned,
,MRLN,COVER,0,0,0.0,7.06,,7.06,7.06,2.0,0.007882254464285712,planned,
,MRVL,BUY,0,0,0.0,182.58,,182.58,182.58,2.0,0.0078125,planned,
,MSGM,SELL,0,0,0.0,4.5,,4.5,4.5,2.0,0.04464285714285714,planned,
,MSTR,SELL,0,0,0.0,186.97,,186.97,186.97,2.0,0.007882254464285712,planned,
,MU,SELL,0,0,0.0,776.01,,776.01,776.01,2.0,6.975446428571404e-05,planned,
,MWH,BUY,0,0,0.0,44.82,,44.82,44.82,2.0,0.0078125,planned,
,MXL,SELL,0,0,0.0,88.78,,88.78,88.78,2.0,6.975446428571404e-05,planned,
,MYRG,SELL,0,0,0.0,473.07,,473.07,473.07,2.0,6.975446428571404e-05,planned,
,NAMS,SELL,0,0,0.0,36.88,,36.88,36.88,2.0,0.007882254464285712,planned,
,NAVI,SHORT,0,0,0.0,8.13,,8.13,8.13,2.0,0.0078125,planned,
,NB,SELL,0,0,0.0,5.86,,5.86,5.86,2.0,0.007882254464285712,planned,
,NERV,COVER,0,0,0.0,5.5,,5.5,5.5,2.0,0.007882254464285712,planned,
,NESR,BUY,0,0,0.0,25.99,,25.99,25.99,2.0,0.0078125,planned,
,NGNE,BUY,0,0,0.0,31.27,,31.27,31.27,2.0,0.0078125,planned,
,NHP,SHORT,0,0,0.0,14.45,,14.45,14.45,2.0,0.0078125,planned,
,NKTR,SELL,0,0,0.0,74.33,,74.33,74.33,2.0,6.975446428571404e-05,planned,
,NPCE,COVER,0,0,0.0,15.79,,15.79,15.79,2.0,0.007882254464285712,planned,
,NSTS,COVER,0,0,0.0,13.65,,13.65,13.65,2.0,0.007882254464285712,planned,
,NVCR,SELL,0,0,0.0,18.05,,18.05,18.05,2.0,0.007882254464285712,planned,
,NVCT,COVER,0,0,0.0,12.45,,12.45,12.45,2.0,0.007882254464285712,planned,
,NVMI,SHORT,0,0,0.0,556.11,,556.11,556.11,2.0,0.0078125,planned,
,NVTS,SELL,0,0,0.0,22.32,,22.32,22.32,2.0,6.975446428571404e-05,planned,
,ODD,COVER,0,0,0.0,12.54,,12.54,12.54,2.0,0.007882254464285712,planned,
,OLLI,SHORT,0,0,0.0,78.75,,78.75,78.75,2.0,0.0078125,planned,
,OMDA,COVER,0,0,0.0,16.58,,16.58,16.58,2.0,0.007882254464285712,planned,
,ONDS,SELL,0,0,0.0,11.21,,11.21,11.21,2.0,0.007882254464285712,planned,
,OPRX,SHORT,0,0,0.0,5.18,,5.18,5.18,2.0,0.0078125,planned,
,OPTX,SHORT,0,0,0.0,7.64,,7.64,7.64,2.0,0.0078125,planned,
,OUST,COVER,0,0,0.0,34.86,,34.86,34.86,2.0,0.007882254464285712,planned,
,PAHC,COVER,0,0,0.0,36.15,,36.15,36.15,2.0,6.975446428571404e-05,planned,
,PAL,SHORT,0,0,0.0,5.28,,5.28,5.28,2.0,0.0078125,planned,
,PANW,SELL,0,0,0.0,238.21,,238.21,238.21,2.0,0.007882254464285712,planned,
,PBM,COVER,0,0,0.0,5.04,,5.04,5.04,2.0,0.007882254464285712,planned,
,PCT,SELL,0,0,0.0,12.39,,12.39,12.39,2.0,0.007882254464285712,planned,
,PENG,SELL,0,0,0.0,49.44,,49.44,49.44,2.0,6.975446428571404e-05,planned,
,PGNY,SELL,0,0,0.0,22.87,,22.87,22.87,2.0,6.975446428571404e-05,planned,
,PHOE,COVER,0,0,0.0,14.18,,14.18,14.18,2.0,0.007882254464285712,planned,
,PI,BUY,0,0,0.0,144.63,,144.63,144.63,2.0,0.0078125,planned,
,PLAY,COVER,0,0,0.0,10.23,,10.23,10.23,2.0,6.975446428571404e-05,planned,
,PLSE,SELL,0,0,0.0,27.1,,27.1,27.1,2.0,0.007882254464285712,planned,
,POET,SELL,0,0,0.0,20.57,,20.57,20.57,2.0,0.015694754464285712,planned,
,POWL,SELL,0,0,0.0,296.98,,296.98,296.98,2.0,0.007882254464285712,planned,
,PPTA,SELL,0,0,0.0,31.1,,31.1,31.1,2.0,6.975446428571404e-05,planned,
,PRAA,SHORT,0,0,0.0,14.72,,14.72,14.72,2.0,0.0078125,planned,
,PRTA,COVER,0,0,0.0,9.86,,9.86,9.86,2.0,6.975446428571404e-05,planned,
,PRTH,SELL,0,0,0.0,5.98,,5.98,5.98,2.0,0.007882254464285712,planned,
,PSIX,COVER,0,0,0.0,41.3,,41.3,41.3,2.0,0.007882254464285712,planned,
,PTEN,SELL,0,0,0.0,12.12,,12.12,12.12,2.0,6.975446428571404e-05,planned,
,PURR,SHORT,0,0,0.0,7.14,,7.14,7.14,2.0,0.0078125,planned,
,PVLA,BUY,0,0,0.0,118.97,,118.97,118.97,2.0,0.0078125,planned,
,PXLW,SHORT,0,0,0.0,6.38,,6.38,6.38,2.0,0.0078125,planned,
,QCLS,SHORT,0,0,0.0,5.13,,5.13,5.13,2.0,0.0078125,planned,
,QCOM,SELL,0,0,0.0,200.08,,200.08,200.08,2.0,6.975446428571404e-05,planned,
,QSEA,SHORT,0,0,0.0,10.43,,10.43,10.43,2.0,0.0078125,planned,
,QUBT,SELL,0,0,0.0,11.73,,11.73,11.73,2.0,0.007882254464285712,planned,
,QUIK,BUY,0,0,0.0,20.62,,20.62,20.62,2.0,0.0078125,planned,
,QURE,SELL,0,0,0.0,27.75,,27.75,27.75,2.0,6.975446428571404e-05,planned,
,RDWR,COVER,0,0,0.0,27.35,,27.35,27.35,2.0,0.007882254464285712,planned,
,RELL,COVER,0,0,0.0,17.5,,17.5,17.5,2.0,6.975446428571404e-05,planned,
,REPL,COVER,0,0,0.0,4.93,,4.93,4.93,2.0,0.04464285714285714,planned,
,RFIL,BUY,0,0,0.0,18.2,,18.2,18.2,2.0,0.0078125,planned,
,RGTI,SELL,0,0,0.0,19.27,,19.27,19.27,2.0,0.007882254464285712,planned,
,RIGL,COVER,0,0,0.0,31.92,,31.92,31.92,2.0,0.007882254464285712,planned,
,RILY,SELL,0,0,0.0,9.34,,9.34,9.34,2.0,0.007882254464285712,planned,
,RILYT,BUY,0,0,0.0,21.0,,21.0,21.0,2.0,0.0078125,planned,
,RIOT,SELL,0,0,0.0,24.62,,24.62,24.62,2.0,6.975446428571404e-05,planned,
,RKLB,SELL,0,0,0.0,132.55,,132.55,132.55,2.0,6.975446428571404e-05,planned,
,RLAY,BUY,0,0,0.0,12.78,,12.78,12.78,2.0,0.0078125,planned,
,RLYB,SELL,0,0,0.0,14.21,,14.21,14.21,2.0,0.007882254464285712,planned,
,RMBS,BUY,0,0,0.0,130.46,,130.46,130.46,2.0,0.0078125,planned,
,RWAY,SHORT,0,0,0.0,6.67,,6.67,6.67,2.0,0.0078125,planned,
,RXT,SELL,0,0,0.0,7.29,,7.29,7.29,2.0,0.015694754464285712,planned,
,SAIL,SHORT,0,0,0.0,13.18,,13.18,13.18,2.0,0.0078125,planned,
,SANM,SELL,0,0,0.0,242.04,,242.04,242.04,2.0,6.975446428571404e-05,planned,
,SATS,BUY,0,0,0.0,135.11,,135.11,135.11,2.0,0.0078125,planned,
,SEAT,COVER,0,0,0.0,9.25,,9.25,9.25,2.0,0.007882254464285712,planned,
,SEPN,SHORT,0,0,0.0,28.32,,28.32,28.32,2.0,0.0078125,planned,
,SEZL,SELL,0,0,0.0,103.44,,103.44,103.44,2.0,0.007882254464285712,planned,
,SHIM,SHORT,0,0,0.0,5.02,,5.02,5.02,2.0,0.0078125,planned,
,SITM,SELL,0,0,0.0,820.21,,820.21,820.21,2.0,6.975446428571404e-05,planned,
