submitted_at,ticker,side,quantity,limit_price,notional,dry_run,order_status,order_id,error,transaction_cost_bps,slippage_bps,estimated_transaction_cost,estimated_slippage_cost,estimated_total_cost,risk_ok,risk_reason
2026-05-14T17:13:00.563471+00:00,DASH,SELL,15,153.99,2309.8500000000004,False,Filled,1397,,1.0,2.0,0.23098500000000002,0.46197000000000005,0.6929550000000001,True,
2026-05-14T17:13:00.563471+00:00,DAVE,BUY,7,239.6,1677.2,False,Filled,1400,,1.0,2.0,0.16772,0.33544,0.50316,True,
2026-05-14T17:13:00.563471+00:00,DCBO,SELL,27,16.41,443.07,False,Filled,1403,,1.0,2.0,0.044307,0.088614,0.132921,True,
2026-05-14T17:13:00.563471+00:00,DDOG,BUY,19,203.75,3871.25,False,Filled,1406,,1.0,2.0,0.387125,0.77425,1.161375,True,
2026-05-14T17:13:00.563471+00:00,DFDV,SELL,149,5.2,774.8000000000001,False,Filled,1409,,1.0,2.0,0.07748000000000001,0.15496000000000001,0.23244000000000004,True,
2026-05-14T17:13:00.563471+00:00,DGXX,BUY,549,8.68,4765.32,False,Cancelled,1412,,1.0,2.0,0.47653199999999996,0.9530639999999999,1.4295959999999999,True,
2026-05-14T17:13:00.563471+00:00,DIBS,BUY,106,4.28,453.68,False,Filled,1415,,1.0,2.0,0.045368,0.090736,0.136104,True,
2026-05-14T17:13:00.563471+00:00,DJCO,BUY,2,468.1,936.2,False,Filled,1418,,1.0,2.0,0.09362000000000001,0.18724000000000002,0.28086,True,
2026-05-14T17:13:00.563471+00:00,DOMH,BUY,627,3.92,2457.84,False,Submitted,1421,,1.0,2.0,0.245784,0.491568,0.737352,True,
2026-05-14T17:13:00.563471+00:00,DOMO,SELL,659,3.48,2293.32,False,Filled,1424,,1.0,2.0,0.229332,0.458664,0.687996,True,
2026-05-14T17:13:00.563471+00:00,DOO,SELL,13,56.38,732.94,False,Filled,1427,,1.0,2.0,0.07329400000000001,0.14658800000000002,0.21988200000000002,True,
2026-05-14T17:13:00.563471+00:00,DOX,SELL,12,62.06,744.72,False,Filled,1430,,1.0,2.0,0.074472,0.148944,0.223416,True,
2026-05-14T17:13:00.563471+00:00,DPRO,SELL,88,5.6,492.79999999999995,False,Submitted,1433,,1.0,2.0,0.04928,0.09856,0.14784,True,
2026-05-14T17:13:00.563471+00:00,DRTS,BUY,383,10.4,3983.2000000000003,False,Filled,1436,,1.0,2.0,0.39832,0.79664,1.19496,True,
2026-05-14T17:13:00.563471+00:00,DSGN,BUY,53,14.5,768.5,False,Filled,1439,,1.0,2.0,0.07685,0.1537,0.23055,True,
2026-05-14T17:13:00.563471+00:00,EIKN,BUY,41,12.87,527.67,False,Submitted,1442,,1.0,2.0,0.052766999999999994,0.10553399999999999,0.15830099999999997,True,
2026-05-14T17:13:00.563471+00:00,ENGN,BUY,2033,1.72,3496.7599999999998,False,Submitted,1445,,1.0,2.0,0.349676,0.699352,1.0490279999999998,True,
2026-05-14T17:13:00.563471+00:00,ENPH,SELL,98,48.39,4742.22,False,Submitted,1448,,1.0,2.0,0.47422200000000003,0.9484440000000001,1.422666,True,
2026-05-14T17:13:00.563471+00:00,ERII,SELL,555,8.57,4756.35,False,Filled,1451,,1.0,2.0,0.47563500000000003,0.9512700000000001,1.426905,True,
2026-05-14T17:13:00.563471+00:00,ERNA,SELL,465,10.21,4747.650000000001,False,PreSubmitted,1454,,1.0,2.0,0.47476500000000005,0.9495300000000001,1.424295,True,
2026-05-14T17:13:00.563471+00:00,ESOA,BUY,228,17.45,3978.6,False,Submitted,1457,,1.0,2.0,0.39786,0.79572,1.1935799999999999,True,
2026-05-14T17:13:00.563471+00:00,ESPR,BUY,783,3.13,2450.79,False,Filled,1460,,1.0,2.0,0.245079,0.490158,0.7352369999999999,True,
2026-05-14T17:13:00.563471+00:00,EYE,SELL,43,18.0,774.0,False,Filled,1463,,1.0,2.0,0.0774,0.1548,0.2322,True,
2026-05-14T17:13:00.563471+00:00,EZGO,BUY,91793,0.0257,2359.0801,False,Submitted,1466,,1.0,2.0,0.23590801,0.47181602,0.7077240300000001,True,
2026-05-14T17:13:00.563471+00:00,FA,SELL,30,15.34,460.2,False,Filled,1469,,1.0,2.0,0.04602,0.09204,0.13806,True,
2026-05-14T17:13:00.563471+00:00,FABC,SELL,393,4.64,1823.52,False,Submitted,1472,,1.0,2.0,0.182352,0.364704,0.547056,True,
2026-05-14T17:13:00.563471+00:00,FACT,BUY,231,10.6,2448.6,False,Filled,1475,,1.0,2.0,0.24486,0.48972,0.73458,True,
2026-05-14T17:13:00.563471+00:00,FCEL,BUY,38,19.94,757.72,False,Submitted,1478,,1.0,2.0,0.075772,0.151544,0.22731600000000002,True,
2026-05-14T17:13:00.563471+00:00,FDMT,BUY,478,9.97,4765.66,False,Filled,1481,,1.0,2.0,0.476566,0.953132,1.429698,True,
2026-05-14T17:13:00.563471+00:00,FEIM,BUY,12,60.16,721.92,False,Filled,1484,,1.0,2.0,0.07219199999999999,0.14438399999999998,0.216576,True,
2026-05-14T17:13:00.563471+00:00,FENC,SELL,88,8.8,774.4000000000001,False,Filled,1487,,1.0,2.0,0.07744000000000001,0.15488000000000002,0.23232000000000003,True,
2026-05-14T17:13:00.563471+00:00,FFAI,BUY,7126,0.4022,2866.0772,False,Filled,1490,,1.0,2.0,0.28660772,0.57321544,0.85982316,True,
2026-05-14T17:13:00.563471+00:00,FGMC,SELL,386,10.3,3975.8,False,Filled,1493,,1.0,2.0,0.39758000000000004,0.7951600000000001,1.1927400000000001,True,
2026-05-14T17:13:00.563471+00:00,FLNC,BUY,674,21.93,14780.82,False,Filled,1496,,1.0,2.0,1.478082,2.956164,4.434246,True,
