ticker,alpha,z_alpha,dollar_volume,passes_signal
CDNS,-0.0048743269216348865,-0.43281902029679287,5144204.26161768,False
RILY,-0.004860735850500934,-0.42992561901249776,11943.99,False
DRTS,-0.004852179759031548,-0.4281041138638548,64915.76,False
NRXP,-0.004849871160220233,-0.42761263657705767,68141.542294081,False
FSLR,-0.004845273649862889,-0.4266338732226912,4263155.720005,False
PURR,-0.004841980510920253,-0.42593279732130906,239202.2,False
CRSR,-0.0048407490714680035,-0.42567063634388835,78211.66977093999,False
HUBG,-0.004839526704249315,-0.4254104067530361,1087754.5910525,False
PSNL,-0.004829900603714294,-0.42336110752001194,25505.28,False
PMAX,-0.004825766542247397,-0.4224810077368688,1601.375,False
LPTH,-0.004805361082617184,-0.41813689221287625,171657.1984098,False
PZZA,-0.004797850150075756,-0.4165378908061856,1740287.49785394,False
ENPH,-0.004783209823132897,-0.4134211135955104,668372.8809336598,False
LQDA,-0.004781055405784905,-0.41296245997945985,2708578.82843641,False
PRLD,-0.004757872658750956,-0.40802708811800675,1408.6799999999998,False
EVLV,-0.004713926425937548,-0.39867138059436646,401771.677932645,False
HFFG,-0.004711866894783012,-0.3982329272871291,65282.576941925,False
RUM,-0.004710071389984487,-0.3978506825148954,152123.38999999998,False
KEEL,-0.0046905382503886015,-0.3936922750843093,855493.30685238,False
LSCC,-0.004684947982872949,-0.3925021637936006,4579254.4140444,False
SKIN,-0.004683389634854941,-0.39217040729609987,5985.2051,False
RCKT,-0.004669827961547998,-0.3892832645111965,35189.294834994995,False
LIF,-0.004659868353799681,-0.38716296497291597,1053740.5637085598,False
PEGA,-0.004658557775382049,-0.386883956111924,700425.51591825,False
NMRA,-0.004654775428511765,-0.38607873280139404,12599.039999999999,False
PRSO,-0.004637033328522276,-0.3823016195488971,10978.2777,False
CSIQ,-0.004628307476388658,-0.3804439740755459,499165.73299349996,False
ESPR,-0.004627886432430329,-0.3803543380845511,145834.16,False
ALT,-0.004626406156632853,-0.3800392023714557,65946.45,False
VIVO,-0.004597868922143795,-0.3739639144042991,86964.1619256,False
SSYS,-0.00459551743311196,-0.37346330622429175,27896.399999999998,False
VSAT,-0.0045943000489485,-0.3732041374753889,446165.72347245004,False
IPW,-0.004557834545441204,-0.36544100139578284,661.7736,False
CPSH,-0.004546878450166053,-0.36310855976351225,12054.630000000001,False
VFF,-0.004538777795681077,-0.36138401253250657,3009.2538078750003,False
WEN,-0.0045364994148575435,-0.3608989683490163,3640312.24598228,False
SAIL,-0.004505451827180004,-0.3542892516331614,249668.08018554002,False
NCRA,-0.004499472188545857,-0.3530162471780202,39950.6162,False
ARVN,-0.004495085466238951,-0.3520823584630286,87352.74691989,False
SEZL,-0.0044711840910496466,-0.3469939979513694,261029.96766000002,False
EBAY,-0.004444473900449876,-0.34130766910918725,8516113.222158885,False
SVCO,-0.004443241372486109,-0.3410452763986978,74891.87999999999,False
RVPH,-0.004438430725661178,-0.34002113845074944,887.04,False
NTSK,-0.004430585750566025,-0.33835102277025136,72714.72,False
AIOT,-0.004425742658352197,-0.33731997752787585,27306.635,False
AISP,-0.004421199693304996,-0.3363528263171634,11387.573660707201,False
SWKS,-0.0044046793418152114,-0.33283581093651854,3370716.7011183603,False
VITL,-0.004392514073760698,-0.3302459486757883,312229.6191286399,False
WVE,-0.004386252528509441,-0.32891292915929127,212658.03483049502,False
FORM,-0.004375514672971074,-0.32662694855488755,4976199.84524202,False
CGTL,-0.004369996762585135,-0.3254522413636774,69938.24,False
DNUT,-0.004366610820127024,-0.3247314085345141,59007.746242965,False
NNBR,-0.004326922958226215,-0.316282265014997,4983.18,False
SOLS,-0.004294211636891476,-0.3093183562672544,1967612.9793182497,False
WDAY,-0.004291230299362047,-0.30868365972630135,2333984.429939085,False
MGNI,-0.004266405150495258,-0.30339863716214543,224632.10226887997,False
FCEL,-0.004254599004352745,-0.3008852283163933,14152821.52404844,False
MITK,-0.004250654799449137,-0.3000455470711738,254937.2469645,False
SABR,-0.004240268180668994,-0.29783434121243374,36487.77219864,False
MVIS,-0.0042157359953601805,-0.29261168762027023,40747.6558,False
GEHC,-0.004210713124401918,-0.29154236930545546,4081524.1835841,False
GFS,-0.004197794093814362,-0.2887920386416344,1646715.45324237,False
TRON,-0.004195946788078856,-0.2883987659749757,1497.145,False
CPRT,-0.004189923706617799,-0.2871165129823251,964033.2852637499,False
COST,-0.00418957428299188,-0.28704212423415115,9296292.657172501,False
ERAS,-0.004186899660661057,-0.28647272425009296,259231.22130592502,False
OMDA,-0.00417255127662325,-0.283418098724748,188346.40000000002,False
PROK,-0.004155926695298502,-0.2798788938687207,5084.314771769999,False
GSIT,-0.004103340783407473,-0.26868388624189465,765942.03888704,False
ILMN,-0.004093142102598143,-0.2665126904721871,7714039.370716799,False
ASST,-0.00407292221796123,-0.262208081983266,654030.7677,False
TSCO,-0.004032123547244322,-0.2535224585260436,4275564.235610444,False
ATAI,-0.004023149246646658,-0.25161192089298945,141527.292820375,False
ZVRA,-0.003999625102387146,-0.24660386902264203,44028.270000000004,False
CHYM,-0.0039995107649613525,-0.24657952774362332,664031.3367522,False
CRBU,-0.003990557688104416,-0.24467350842984464,36953.01,False
LOGI,-0.003989545471602362,-0.24445801779646023,497900.75999999995,False
IMSR,-0.003947395484093596,-0.23548471269130036,499761.96153042826,False
FWDI,-0.003938519317187692,-0.23359506672653133,78045.54000000001,False
