ticker,side,quantity,limit_price,notional,ok,reason,timestamp
RELY,BUY,4904,24.1398,118381.57920000001,False,size_or_price_limit,2026-05-12T19:23:16.490180
TDIC,SELL,2852,2.1197,6045.3844,True,,2026-05-12T19:23:16.490180
TIGO,SELL,74,81.2837,6014.993799999999,True,,2026-05-12T19:23:16.490180
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T19:23:16.490180
AIRS,BUY,1827,3.9508,7218.1116,True,,2026-05-12T19:28:47.324018
ALGM,BUY,122,44.4289,5420.3258,True,,2026-05-12T19:28:47.324018
BWEN,SELL,88,3.2293,284.1784,True,,2026-05-12T19:28:47.324018
CDW,SELL,3,98.7302,296.1906,True,,2026-05-12T19:28:47.324018
CSGP,BUY,3403,32.5915,110908.8745,False,size_or_price_limit,2026-05-12T19:28:47.324018
FIGR,BUY,172,38.4477,6613.0044,True,,2026-05-12T19:28:47.324018
FLNC,SELL,15,21.6257,324.3855,True,,2026-05-12T19:28:47.324018
HNRG,BUY,1701,19.6489,33422.778900000005,False,size_or_price_limit,2026-05-12T19:28:47.324018
MNST,BUY,3,85.6871,257.0613,True,,2026-05-12T19:28:47.324018
OKTA,SELL,77,78.6593,6056.7661,True,,2026-05-12T19:28:47.324018
PENG,BUY,109,41.8884,4565.835599999999,True,,2026-05-12T19:28:47.324018
PSIX,SELL,452,37.6425,17014.41,True,,2026-05-12T19:28:47.324018
QUBT,SELL,11112,11.5417,128251.3704,False,size_or_price_limit,2026-05-12T19:28:47.324018
RELY,BUY,4904,24.1398,118381.57920000001,False,size_or_price_limit,2026-05-12T19:28:47.324018
TDIC,SELL,2864,2.1197,6070.8207999999995,True,,2026-05-12T19:28:47.324018
TIGO,SELL,74,81.2837,6014.993799999999,True,,2026-05-12T19:28:47.324018
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T19:28:47.324018
AIRS,BUY,1827,3.9508,7218.1116,True,,2026-05-12T19:34:19.446037
ALGM,BUY,122,44.4289,5420.3258,True,,2026-05-12T19:34:19.446037
BWEN,SELL,60,3.2293,193.75799999999998,True,,2026-05-12T19:34:19.446037
CDW,SELL,3,98.7302,296.1906,True,,2026-05-12T19:34:19.446037
CSGP,BUY,3404,32.5915,110941.46600000001,False,size_or_price_limit,2026-05-12T19:34:19.446037
FIGR,BUY,172,38.4477,6613.0044,True,,2026-05-12T19:34:19.446037
FLNC,SELL,15,21.6257,324.3855,True,,2026-05-12T19:34:19.446037
HNRG,BUY,1702,19.6489,33442.427800000005,False,size_or_price_limit,2026-05-12T19:34:19.446037
MNST,BUY,2,85.6871,171.3742,True,,2026-05-12T19:34:19.446037
OKTA,SELL,77,78.6593,6056.7661,True,,2026-05-12T19:34:19.446037
PENG,BUY,109,41.8884,4565.835599999999,True,,2026-05-12T19:34:19.446037
PSIX,SELL,452,37.6425,17014.41,True,,2026-05-12T19:34:19.446037
QUBT,SELL,11113,11.5417,128262.9121,False,size_or_price_limit,2026-05-12T19:34:19.446037
RELY,BUY,4904,24.1398,118381.57920000001,False,size_or_price_limit,2026-05-12T19:34:19.446037
REPL,SELL,107,3.9792,425.7744,True,,2026-05-12T19:34:19.446037
TDIC,SELL,2863,2.1197,6068.701099999999,True,,2026-05-12T19:34:19.446037
TIGO,SELL,74,81.2837,6014.993799999999,True,,2026-05-12T19:34:19.446037
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T19:34:19.446037
AIRS,BUY,2020,3.9508,7980.616,True,,2026-05-12T19:39:51.120971
ALGM,BUY,144,44.4289,6397.7616,True,,2026-05-12T19:39:51.120971
BWEN,BUY,468,3.2305,1511.874,True,,2026-05-12T19:39:51.120971
CDW,BUY,15,98.7698,1481.547,True,,2026-05-12T19:39:51.120971
CSGP,BUY,3454,32.5915,112571.04100000001,False,size_or_price_limit,2026-05-12T19:39:51.120971
FIGR,BUY,194,38.4477,7458.8538,True,,2026-05-12T19:39:51.120971
FLNC,BUY,65,21.6343,1406.2295,True,,2026-05-12T19:39:51.120971
HNRG,BUY,1786,19.6489,35092.9354,False,size_or_price_limit,2026-05-12T19:39:51.120971
MNST,BUY,21,85.6871,1799.4291,True,,2026-05-12T19:39:51.120971
OKTA,BUY,1843,78.6907,145026.96010000003,False,size_or_price_limit,2026-05-12T19:39:51.120971
PENG,BUY,135,41.8884,5654.933999999999,True,,2026-05-12T19:39:51.120971
PSIX,BUY,584,37.6575,21991.98,True,,2026-05-12T19:39:51.120971
QUBT,SELL,11110,11.5417,128228.28700000001,False,size_or_price_limit,2026-05-12T19:39:51.120971
RELY,BUY,4973,24.1398,120047.22540000001,False,size_or_price_limit,2026-05-12T19:39:51.120971
SITM,BUY,2,819.954,1639.908,True,,2026-05-12T19:39:51.120971
TDIC,SELL,1703,2.1197,3609.8491,True,,2026-05-12T19:39:51.120971
TIGO,SELL,44,81.2837,3576.4827999999998,True,,2026-05-12T19:39:51.120971
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T19:39:51.120971
AIRS,BUY,1877,3.9508,7415.6516,True,,2026-05-12T19:45:23.929460
ALGM,BUY,139,44.4289,6175.6170999999995,True,,2026-05-12T19:45:23.929460
BWEN,BUY,430,3.2305,1389.115,True,,2026-05-12T19:45:23.929460
CDW,BUY,9,98.7698,888.9282000000001,True,,2026-05-12T19:45:23.929460
CSGP,BUY,3451,32.5915,112473.26650000001,False,size_or_price_limit,2026-05-12T19:45:23.929460
FIGR,BUY,186,38.4477,7151.272199999999,True,,2026-05-12T19:45:23.929460
FLNC,BUY,41,21.6343,887.0063,True,,2026-05-12T19:45:23.929460
HNRG,BUY,1780,19.6489,34975.042,False,size_or_price_limit,2026-05-12T19:45:23.929460
MNST,BUY,20,85.6871,1713.742,True,,2026-05-12T19:45:23.929460
OKTA,BUY,1841,78.6907,144869.5787,False,size_or_price_limit,2026-05-12T19:45:23.929460
PENG,BUY,130,41.8884,5445.491999999999,True,,2026-05-12T19:45:23.929460
PSIX,BUY,1033,37.6575,38900.1975,False,size_or_price_limit,2026-05-12T19:45:23.929460
QUBT,SELL,11110,11.5417,128228.28700000001,False,size_or_price_limit,2026-05-12T19:45:23.929460
RELY,BUY,4968,24.1398,119926.5264,False,size_or_price_limit,2026-05-12T19:45:23.929460
SITM,BUY,2,819.954,1639.908,True,,2026-05-12T19:45:23.929460
TDIC,SELL,1700,2.1197,3603.49,True,,2026-05-12T19:45:23.929460
TIGO,SELL,44,81.2837,3576.4827999999998,True,,2026-05-12T19:45:23.929460
ZBRA,SELL,215,246.5507,53008.4005,False,size_or_price_limit,2026-05-12T19:45:23.929460
AIRS,BUY,1838,3.9508,7261.5704000000005,True,,2026-05-12T19:50:54.728529
ALGM,BUY,135,44.4289,5997.9015,True,,2026-05-12T19:50:54.728529
BWEN,BUY,393,3.2305,1269.5865000000001,True,,2026-05-12T19:50:54.728529
