long_threshold_alpha,short_threshold_alpha,cost_adjusted_alpha_threshold,trading_cost_return,min_net_alpha_after_cost,filtered_missing_or_untradable,filtered_price,filtered_liquidity,filtered_alpha_threshold,row,final_number_long,final_number_short
0.003863398836561297,-0.0037241444234075343,0.0007999999999999999,0.0003,0.0005,4339,1248,1599,842,44,95,95
0.00378811158309757,-0.003397504386469412,0.0007999999999999999,0.0003,0.0005,4354,1237,1618,820,45,94,94
0.0034795293104149735,-0.0033802796281952765,0.0007999999999999999,0.0003,0.0005,4353,1244,1592,827,46,95,95
0.00255718791343443,-0.003135765951643722,0.0007999999999999999,0.0003,0.0005,4358,1247,1611,958,47,90,90
0.002766055898834249,-0.0031790814811800444,0.0007999999999999999,0.0003,0.0005,4368,1258,1593,1082,48,80,80
0.0035042106838425093,-0.003032481921264091,0.0007999999999999999,0.0003,0.0005,4363,1258,1579,1115,49,80,80
0.002956104750619548,-0.0031146914986937093,0.0007999999999999999,0.0003,0.0005,4377,1267,1568,1040,50,80,80
0.002911598317482241,-0.002880747506880794,0.0007999999999999999,0.0003,0.0005,4362,1268,1427,940,51,95,95
0.0026633798826703383,-0.002953533107569746,0.0007999999999999999,0.0003,0.0005,4353,1280,1592,1039,52,82,82
0.0028844960237237793,-0.0025408628674649047,0.0007999999999999999,0.0003,0.0005,4351,1264,1604,956,53,88,88
0.002837797712539137,-0.002240176648238966,0.0007999999999999999,0.0003,0.0005,4367,1263,1568,1115,54,87,87
0.0026941395866639756,-0.002194126444812553,0.0007999999999999999,0.0003,0.0005,4358,1254,1587,1217,55,73,73
0.002739300182984904,-0.0024242637351709066,0.0007999999999999999,0.0003,0.0005,4379,1266,1609,1320,56,67,67
0.0023591162006402697,-0.0025840354782623266,0.0007999999999999999,0.0003,0.0005,4380,1265,1592,1205,57,71,71
0.002433293481584533,-0.00261391591809583,0.0007999999999999999,0.0003,0.0005,4357,1259,1631,996,58,79,79
0.0027370446017496567,-0.0022710714305807385,0.0007999999999999999,0.0003,0.0005,4365,1255,1602,983,59,89,89
0.002828845622884815,-0.002340565125918513,0.0007999999999999999,0.0003,0.0005,4372,1247,1530,1001,60,91,91
0.0022514746794420285,-0.002564387098082323,0.0007999999999999999,0.0003,0.0005,4357,1253,1567,1040,61,85,85
0.0021385480617313306,-0.0030492668710312342,0.0007999999999999999,0.0003,0.0005,4349,1260,1608,1035,62,77,77
0.0021655574426210095,-0.0023704475558195197,0.0007999999999999999,0.0003,0.0005,4375,1248,1590,1126,63,78,78
0.00199951665737866,-0.00265591059469105,0.0007999999999999999,0.0003,0.0005,4358,1258,1594,1121,64,74,74
0.002088373986075724,-0.0026675915662358715,0.0007999999999999999,0.0003,0.0005,4374,1257,1648,1023,65,74,74
0.0021371900790868835,-0.0025761256368820812,0.0007999999999999999,0.0003,0.0005,4372,1253,1619,1014,66,79,79
0.002279894459222223,-0.00261791560785343,0.0007999999999999999,0.0003,0.0005,4361,1255,1619,984,67,84,84
0.002157821766601674,-0.002909409145054884,0.0007999999999999999,0.0003,0.0005,4366,1267,1570,1219,68,70,70
0.0022749799122938875,-0.002758264754025562,0.0007999999999999999,0.0003,0.0005,4379,1260,1629,1217,69,70,70
0.002341780548317716,-0.0029744982050141713,0.0007999999999999999,0.0003,0.0005,4359,1269,1644,1175,70,64,64
0.0026976817386887915,-0.0025553469799649993,0.0007999999999999999,0.0003,0.0005,4361,1282,1600,702,71,97,97
0.0027592266119663296,-0.002093895499419265,0.0007999999999999999,0.0003,0.0005,4371,1299,1635,675,72,97,97
0.0027168414613241835,-0.0025699962717940657,0.0007999999999999999,0.0003,0.0005,4376,1299,1645,697,73,93,93
0.0028771211592274666,-0.0029613658776856924,0.0007999999999999999,0.0003,0.0005,4380,1299,1617,693,74,92,92
0.0033354312429032095,-0.003436559206733862,0.0007999999999999999,0.0003,0.0005,4383,1302,1612,546,75,103,103
0.003175777811893775,-0.0031246060129772337,0.0007999999999999999,0.0003,0.0005,4372,1298,1631,531,76,104,104
0.0029442764507454987,-0.0028101639036755078,0.0007999999999999999,0.0003,0.0005,4369,1293,1642,581,77,101,101
0.0028637301972839696,-0.0029517983349004484,0.0007999999999999999,0.0003,0.0005,4375,1296,1652,601,78,99,99
0.0028673191246990732,-0.0033934613165845116,0.0007999999999999999,0.0003,0.0005,4385,1300,1644,638,79,97,97
0.003202945291532475,-0.003680189231719467,0.0007999999999999999,0.0003,0.0005,4402,1299,1652,588,80,101,101
0.002753117345226319,-0.0033669564329946475,0.0007999999999999999,0.0003,0.0005,4368,1303,1641,656,81,99,99
0.002165207471435783,-0.0029374055550192074,0.0007999999999999999,0.0003,0.0005,4369,1299,1645,806,82,88,88
0.0022547043753609127,-0.0036318424681439816,0.0007999999999999999,0.0003,0.0005,4385,1287,1615,808,83,87,87
0.0022692970761985,-0.003489470663665928,0.0007999999999999999,0.0003,0.0005,4389,1288,1617,826,84,90,90
0.0023375064008492215,-0.0033546359593994005,0.0007999999999999999,0.0003,0.0005,4380,1286,1643,921,85,84,84
0.0024554660718796285,-0.0026785608041031824,0.0007999999999999999,0.0003,0.0005,4364,1285,1630,930,86,88,88
0.002266450360925144,-0.003276829593642743,0.0007999999999999999,0.0003,0.0005,4352,1285,1647,1003,87,81,81
0.002258009045903376,-0.003193892856456052,0.0007999999999999999,0.0003,0.0005,4387,1282,1633,959,88,81,81
0.0023729322251077934,-0.004020452362527598,0.0007999999999999999,0.0003,0.0005,4378,1274,1624,892,89,87,87
0.002676016045219988,-0.003377782865060743,0.0007999999999999999,0.0003,0.0005,4387,1281,1631,874,90,88,88
0.0029450574368523087,-0.0034241219978623045,0.0007999999999999999,0.0003,0.0005,4379,1267,1606,969,91,91,91
0.002999739391081898,-0.003400781823556692,0.0007999999999999999,0.0003,0.0005,4378,1271,1600,1103,92,84,84
0.0029774391510538727,-0.0027124530549086996,0.0007999999999999999,0.0003,0.0005,4365,1275,1595,1079,93,83,83
0.002922349720079129,-0.002459442233620407,0.0007999999999999999,0.0003,0.0005,4358,1267,1609,1087,94,77,77
0.0025550967299066535,-0.0026737542964128704,0.0007999999999999999,0.0003,0.0005,4363,1275,1628,1082,95,72,72
0.0024899908054918612,-0.0024284674806825082,0.0007999999999999999,0.0003,0.0005,4371,1269,1587,1124,96,70,70
0.0023924796969937616,-0.002494772270864064,0.0007999999999999999,0.0003,0.0005,4369,1270,1625,1221,97,70,70
0.002596024716788993,-0.0027011944632589946,0.0007999999999999999,0.0003,0.0005,4370,1270,1626,1109,98,75,75
0.002980992112297577,-0.0024127603012938704,0.0007999999999999999,0.0003,0.0005,4376,1275,1594,1093,99,74,74
0.0026973936545216805,-0.0024653549642855137,0.0007999999999999999,0.0003,0.0005,4377,1281,1661,1136,100,76,76
0.0025265900213346276,-0.002785777870712861,0.0007999999999999999,0.0003,0.0005,4386,1275,1559,1162,101,72,72
0.0024121881835967385,-0.0029415769409683974,0.0007999999999999999,0.0003,0.0005,4403,1281,1596,1128,102,71,71
0.0026269430160425463,-0.0032553767445920507,0.0007999999999999999,0.0003,0.0005,4389,1279,1642,1091,103,73,73
0.002409059840625319,-0.0032299404177354267,0.0007999999999999999,0.0003,0.0005,4376,1275,1618,979,104,78,78
0.002754955606339249,-0.0032981808653218393,0.0007999999999999999,0.0003,0.0005,4372,1283,1603,896,105,88,88
0.0025202422188887325,-0.003578612288087358,0.0007999999999999999,0.0003,0.0005,4364,1279,1656,928,106,80,80
0.0026586284059422474,-0.0031344697087836476,0.0007999999999999999,0.0003,0.0005,4373,1274,1648,876,107,90,90
0.0029381141951166814,-0.002418912158588045,0.0007999999999999999,0.0003,0.0005,4388,1284,1634,901,108,91,91
0.002721198366349481,-0.002227083242034354,0.0007999999999999999,0.0003,0.0005,4387,1288,1682,845,109,90,90
0.002660009176579904,-0.002125482227647151,0.0007999999999999999,0.0003,0.0005,4381,1285,1627,867,110,89,89
0.002570779309271613,-0.0022934884674720582,0.0007999999999999999,0.0003,0.0005,4401,1283,1639,899,111,84,84
0.0028665372596540692,-0.0022716023879306075,0.0007999999999999999,0.0003,0.0005,4396,1275,1584,812,112,95,95
0.0024393551359542455,-0.001842833835696182,0.0007999999999999999,0.0003,0.0005,4390,1288,1670,958,113,82,82
0.0024799228021841475,-0.001739524618784357,0.0007999999999999999,0.0003,0.0005,4390,1292,1655,860,114,88,88
0.002813722003110047,-0.0018167134020099847,0.0007999999999999999,0.0003,0.0005,4372,1298,1643,728,115,93,93
0.0030447676117794855,-0.0020242454546951496,0.0007999999999999999,0.0003,0.0005,4389,1304,1608,587,116,105,105
0.0035243051627568836,-0.0020056092593750815,0.0007999999999999999,0.0003,0.0005,4384,1303,1625,541,117,113,113
0.003718805739576654,-0.0017905135832988368,0.0007999999999999999,0.0003,0.0005,4376,1303,1480,493,118,121,121
